"Onset","Duration","Participant","date_time","Running","Trial","Event","MoneyMagnitude","CardNumber","Feedback","Response","RT","Post_Trial"
99.8960755057124,4.02084799513535,"AM04EN20b","2022_Feb_16_1043","Practice",0,"Fixation",0,7,"loss",2,3.81797154971355,NA
103.916134518251,0.5,"AM04EN20b","2022_Feb_16_1043","Practice",0,"Money",0,7,"loss",2,3.81797154971355,NA
104.41657601839,3.81797154971355,"AM04EN20b","2022_Feb_16_1043","Practice",0,"Choice",0,7,"loss",2,3.81797154971355,NA
108.234547568103,0,"AM04EN20b","2022_Feb_16_1043","Practice",0,"Response",0,7,"loss",2,3.81797154971355,NA
110.255257089599,1,"AM04EN20b","2022_Feb_16_1043","Practice",0,"Feedback",0,7,"loss",2,3.81797154971355,NA
111.256114127858,2.61981478966609,"AM04EN20b","2022_Feb_16_1043","Practice",1,"Fixation",50,4,"loss",4,4.11358148937325,"post_loss"
113.858326150023,0.5,"AM04EN20b","2022_Feb_16_1043","Practice",1,"Money",50,4,"loss",4,4.11358148937325,"post_loss"
114.358747522305,4.11358148937325,"AM04EN20b","2022_Feb_16_1043","Practice",1,"Choice",50,4,"loss",4,4.11358148937325,"post_loss"
118.472329011678,0,"AM04EN20b","2022_Feb_16_1043","Practice",1,"Response",50,4,"loss",4,4.11358148937325,"post_loss"
120.480621104785,1,"AM04EN20b","2022_Feb_16_1043","Practice",1,"Feedback",50,4,"loss",4,4.11358148937325,"post_loss"
121.481478143045,2.69250757095047,"AM04EN20b","2022_Feb_16_1043","Practice",2,"Fixation",50,3,"reward",4,2.76329787621944,"post_break"
124.150409339325,0.5,"AM04EN20b","2022_Feb_16_1043","Practice",2,"Money",50,3,"reward",4,2.76329787621944,"post_break"
124.650838296016,2.76329787621944,"AM04EN20b","2022_Feb_16_1043","Practice",2,"Choice",50,3,"reward",4,2.76329787621944,"post_break"
127.414136172236,0,"AM04EN20b","2022_Feb_16_1043","Practice",2,"Response",50,3,"reward",4,2.76329787621944,"post_break"
129.421563642674,1,"AM04EN20b","2022_Feb_16_1043","Practice",2,"Feedback",50,3,"reward",4,2.76329787621944,"post_break"
130.422415721898,4.37217793786889,"AM04EN20b","2022_Feb_16_1043","Practice",3,"Fixation",10,4,"reward",4,1.48139529795844,"post_break"
134.776118445137,0.5,"AM04EN20b","2022_Feb_16_1043","Practice",3,"Money",10,4,"reward",4,1.48139529795844,"post_break"
135.276543317916,1.48139529795844,"AM04EN20b","2022_Feb_16_1043","Practice",3,"Choice",10,4,"reward",4,1.48139529795844,"post_break"
136.757938615874,0,"AM04EN20b","2022_Feb_16_1043","Practice",3,"Response",10,4,"reward",4,1.48139529795844,"post_break"
138.762842228241,1,"AM04EN20b","2022_Feb_16_1043","Practice",3,"Feedback",10,4,"reward",4,1.48139529795844,"post_break"
