ConditionOverview,Question_Dimension,Conditions.thisRepN,Conditions.thisTrialN,Conditions.thisN,Conditions.thisIndex,QuestionAsked.thisRepN,QuestionAsked.thisTrialN,QuestionAsked.thisN,QuestionAsked.thisIndex,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,Picture.started,Picture.stopped,Rating_Dimension.started,Rating_Dimension.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,LogFilesFolder,date,expName,frameRate,
Rating/Neutral.png,Rating/Valence.png,0,0,0,2,0,0,0,0,5.634342612838736,None,5.634342612838736,None,33.71828844102856,None,33.71828844102856,None,33.71828844102856,None,7,24.470109006388157,33.71828844102856,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Neutral.png,Rating/Arousal.png,0,0,0,2,0,1,1,1,,,,,58.3060851397986,None,58.3060851397986,None,58.3060851397986,None,8,16.234070271897508,58.3060851397986,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Neutral.png,,0,0,0,2,,,,,,,,,,,,,,,,,,,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Tree.png,Rating/Valence.png,0,1,1,5,0,0,0,0,,,,,74.67012061646528,None,74.67012061646528,None,74.67012061646528,None,8,9.925945492139363,74.67012061646528,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Tree.png,Rating/Arousal.png,0,1,1,5,0,1,1,1,,,,,84.66202535781122,None,84.66202535781122,None,84.66202535781122,None,9,3.9899707005952223,84.66202535781122,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Tree.png,,0,1,1,5,,,,,,,,,,,,,,,,,,,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Couple.png,Rating/Valence.png,0,2,2,0,0,0,0,0,,,,,88.79892364652187,None,88.79892364652187,None,88.79892364652187,None,4,48.48445037070633,88.79892364652187,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Couple.png,Rating/Arousal.png,0,2,2,0,0,1,1,1,,,,,137.34061403897613,None,137.34061403897613,None,137.34061403897613,None,2,5.750683769460011,137.34061403897613,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Couple.png,,0,2,2,0,,,,,,,,,,,,,,,,,,,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
Rating/Woman.png,Rating/Valence.png,0,3,3,6,0,0,0,0,,,,,143.41251222267056,None,143.41251222267056,None,143.41251222267056,None,3,15.63060667620266,143.41251222267056,None,AU06EL20,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Mar_01_1143,StroopRating,59.94907559605104,
