ConditionOverview,Question_Dimension,Conditions.thisRepN,Conditions.thisTrialN,Conditions.thisN,Conditions.thisIndex,QuestionAsked.thisRepN,QuestionAsked.thisTrialN,QuestionAsked.thisN,QuestionAsked.thisIndex,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,Picture.started,Picture.stopped,Rating_Dimension.started,Rating_Dimension.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,LogFilesFolder,date,expName,frameRate,
Rating/NeutralCouple.png,Rating/Valence.png,0,0,0,3,0,0,0,0,5.3787899000017205,None,5.3787899000017205,None,22.11060099999304,None,22.11060099999304,None,22.11060099999304,None,5,30.169783799996367,22.11060099999304,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/NeutralCouple.png,Rating/Arousal.png,0,0,0,3,0,1,1,1,,,,,52.33417040000495,None,52.33417040000495,None,52.33417040000495,None,8,20.642060199999833,52.33417040000495,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/NeutralCouple.png,,0,0,0,3,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Neutral.png,Rating/Valence.png,0,1,1,2,0,0,0,0,,,,,73.02852629999688,None,73.02852629999688,None,73.02852629999688,None,5,11.819517899988568,73.02852629999688,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Neutral.png,Rating/Arousal.png,0,1,1,2,0,1,1,1,,,,,84.89554430000135,None,84.89554430000135,None,84.89554430000135,None,8,2.9688463999918895,84.89554430000135,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Neutral.png,,0,1,1,2,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Couple.png,Rating/Valence.png,0,2,2,0,0,0,0,0,,,,,87.92765220000001,None,87.92765220000001,None,87.92765220000001,None,5,15.320722000004025,87.92765220000001,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Couple.png,Rating/Arousal.png,0,2,2,0,0,1,1,1,,,,,103.29619900000398,None,103.29619900000398,None,103.29619900000398,None,3,6.256360200000927,103.29619900000398,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Couple.png,,0,2,2,0,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Woman.png,Rating/Valence.png,0,3,3,6,0,0,0,0,,,,,109.60832450000453,None,109.60832450000453,None,109.60832450000453,None,5,10.231867199996486,109.60832450000453,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Woman.png,Rating/Arousal.png,0,3,3,6,0,1,1,1,,,,,119.89113709999947,None,119.89113709999947,None,119.89113709999947,None,3,2.1411977999960072,119.89113709999947,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Woman.png,,0,3,3,6,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Tree.png,Rating/Valence.png,0,4,4,5,0,0,0,0,,,,,122.08231329999398,None,122.08231329999398,None,122.08231329999398,None,5,16.40576600001077,122.08231329999398,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Tree.png,Rating/Arousal.png,0,4,4,5,0,1,1,1,,,,,138.541455700004,None,138.541455700004,None,138.541455700004,None,8,3.10697120000259,138.541455700004,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Tree.png,,0,4,4,5,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Man.png,Rating/Valence.png,0,5,5,1,0,0,0,0,,,,,141.69813010000507,None,141.69813010000507,None,141.69813010000507,None,5,6.374296299996786,141.69813010000507,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Man.png,Rating/Arousal.png,0,5,5,1,0,1,1,1,,,,,148.12633719999576,None,148.12633719999576,None,148.12633719999576,None,3,2.5460579999926267,148.12633719999576,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Man.png,,0,5,5,1,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Positive.png,Rating/Valence.png,0,6,6,4,0,0,0,0,,,,,150.724618799999,None,150.724618799999,None,150.724618799999,None,8,10.411632299990742,150.724618799999,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Positive.png,Rating/Arousal.png,0,6,6,4,0,1,1,1,,,,,161.19501909999235,None,161.19501909999235,None,161.19501909999235,None,8,2.077015399991069,161.19501909999235,None,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
Rating/Positive.png,,0,6,6,4,,,,,,,,,,,,,,,,,,,IA6LI11,1,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1221,StroopRating,59.93655116699804,
