ConditionOverview,Question_Dimension,Conditions.thisRepN,Conditions.thisTrialN,Conditions.thisN,Conditions.thisIndex,QuestionAsked.thisRepN,QuestionAsked.thisTrialN,QuestionAsked.thisN,QuestionAsked.thisIndex,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,Picture.started,Picture.stopped,Rating_Dimension.started,Rating_Dimension.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,LogFilesFolder,date,expName,frameRate,
Rating/Tree.png,Rating/Valence.png,0,0,0,5,0,0,0,0,2.9441358659441903,None,2.9441358659441903,None,33.812375422430705,None,33.812375422430705,None,33.812375422430705,None,9,10.321209654954146,33.812375422430705,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Tree.png,Rating/Arousal.png,0,0,0,5,0,1,1,1,,,,,44.20453693534546,None,44.20453693534546,None,44.20453693534546,None,9,4.632941131856569,44.20453693534546,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Tree.png,,0,0,0,5,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Neutral.png,Rating/Valence.png,0,1,1,2,0,0,0,0,,,,,48.95858679116827,None,48.95858679116827,None,48.95858679116827,None,6,5.654761769324978,48.95858679116827,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Neutral.png,Rating/Arousal.png,0,1,1,2,0,1,1,1,,,,,54.663436875107436,None,54.663436875107436,None,54.663436875107436,None,9,5.3978031466540415,54.663436875107436,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Neutral.png,,0,1,1,2,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/NeutralCouple.png,Rating/Valence.png,0,2,2,3,0,0,0,0,,,,,60.18480142703629,None,60.18480142703629,None,60.18480142703629,None,7,4.804350242189685,60.18480142703629,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/NeutralCouple.png,Rating/Arousal.png,0,2,2,3,0,1,1,1,,,,,65.03892960647136,None,65.03892960647136,None,65.03892960647136,None,7,2.6781415863370057,65.03892960647136,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/NeutralCouple.png,,0,2,2,3,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Woman.png,Rating/Valence.png,0,3,3,6,0,0,0,0,,,,,67.80795312835107,None,67.80795312835107,None,67.80795312835107,None,7,21.572664913501285,67.80795312835107,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Woman.png,Rating/Arousal.png,0,3,3,6,0,1,1,1,,,,,89.44302431240794,None,89.44302431240794,None,89.44302431240794,None,5,6.82544365148533,89.44302431240794,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Woman.png,,0,3,3,6,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Man.png,Rating/Valence.png,0,4,4,1,0,0,0,0,,,,,96.34890062527666,None,96.34890062527666,None,96.34890062527666,None,4,5.743441892484043,96.34890062527666,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Man.png,Rating/Arousal.png,0,4,4,1,0,1,1,1,,,,,102.15383807577746,None,102.15383807577746,None,102.15383807577746,None,7,4.802401048982574,102.15383807577746,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Man.png,,0,4,4,1,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Couple.png,Rating/Valence.png,0,5,5,0,0,0,0,0,,,,,107.09139446658992,None,107.09139446658992,None,107.09139446658992,None,7,9.728635375144222,107.09139446658992,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Couple.png,Rating/Arousal.png,0,5,5,0,0,1,1,1,,,,,116.88303469721541,None,116.88303469721541,None,116.88303469721541,None,4,1.6009445506733755,116.88303469721541,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Couple.png,,0,5,5,0,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Positive.png,Rating/Valence.png,0,6,6,4,0,0,0,0,,,,,118.61784494841959,None,118.61784494841959,None,118.61784494841959,None,8,5.618031058156703,118.61784494841959,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Positive.png,Rating/Arousal.png,0,6,6,4,0,1,1,1,,,,,124.28933617457005,None,124.28933617457005,None,124.28933617457005,None,7,2.322483544019633,124.28933617457005,None,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
Rating/Positive.png,,0,6,6,4,,,,,,,,,,,,,,,,,,,AM04EN20b,1,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1201,StroopRating,59.95870507814821,
